word,phonetic,translation,tag
arrival,ә'raivl,"n. 到达, 抵达, 到达者\n[经] 到达, 到达物",gk cet4 ky ielts
arrive,ә'raiv,"vi. 到达, 抵达",zk gk
arrogance,'ærәgәns,"n. 傲慢态度, 自大",toefl gre
arrogant,'ærәɡәnt,"a. 自大的, 傲慢的",cet6 ky toefl ielts gre
arrogate,'ærәugeit,"vt. 没来由地把...归属于, 僭取\n[法] 冒称具有, 僭取, 侵占",gre
arrow,'ærәu,"n. 箭, 箭状物, 箭头记号",gk cet4 ky
arroyo,ә'rɒiәu,"n. 干涸沟壑, 旱谷, 小河",gre
arsenal,'ɑ:snәl,"n. 兵工厂, 军械库\n[机] 兵工厂",toefl gre
arson,'ɑ:sәn,"n. 纵火, 纵火罪\n[法] 纵火, 放火",gre
art,ɑ:t,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",zk gk cet4 ky ielts
artery,'ɑ:tәri,"n. 动脉, 干道, 要道\n[医] 动脉",ky toefl ielts gre
arthritis,ɑ:'θraitis,n. 关节炎\n[医] 关节炎,toefl gre
article,'ɑ:tikl,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",zk gk cet4 ky toefl ielts
articles,,n. 文章；冠词；物品；条款（article的复数）,ielts
articulate,ɑ:'tikjulit,"a. 发音清晰的, 口才好的\nvt. 明白地说, 以关节连接, 使成为系统的整体",cet6 ky toefl ielts gre
artifact,'ɑ:tifækt,"n. 人工制品\n[医] 人为现象, 人工产物",toefl gre
artifacts,,n. 史前古器物；人工产品,gre
artifice,'ɑ:tifis,"n. 诡计, 技巧, 巧妙",gre
artificial,.ɑ:ti'fiʃәl,"a. 人造的, 假的, 非原地产的\n[医] 人工的, 人造的, 伟牟",gk cet4 cet6 ky toefl ielts gre
artillery,ɑ:'tilәri,"n. 火炮, 炮兵, 炮术\n[机] 火炮, 炮兵",ielts gre
artisan,.ɑ:ti'zæn,"n. 工匠, 技工\n[经] 熟练技术工, 匠人",toefl gre
artist,'ɑ:tist,"n. 艺术家, 画家",gk cet4 ky
artistic,ɑ:'tistik,"a. 艺术的, 艺术家的, 富有艺术性的",cet4 cet6 ky ielts
artistry,'ɑ:tistri,n. 艺术性,gre
artless,'ɑ:tlis,"a. 无虚饰的, 单纯的, 自然的",gre
as,æz,"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统",zk gk ielts
ascend,ә'send,"vi. 上升, 追溯, 登高\nvt. 攀登",cet6 ky toefl ielts
ascendancy,ә'sendәnsi,"n. 优势, 支配地位",gre
ascending,ә'sendiŋ,"a. 上升的, 向上的\n[计] 递增",toefl
ascent,ә'sent,"n. 上升, 提高, 攀登, 上坡路",toefl ielts
ascertain,.æsә'tein,"vt. 确定, 查明\n[法] 查明, 弄清, 确定",cet6 ky toefl ielts
ascetic,ә'setik,"n. 苦行者, 禁欲者, 修道者\na. 苦行的, 禁欲的",toefl gre
ascribe,ә'skraib,"vt. 归因于, 归咎于\n[法] 归咎于",cet4 cet6 toefl ielts gre
aseptic,æ'septik,n. 防腐剂\na. 无菌的,gre
ash,æʃ,"n. 灰, 灰烬\n[化] 灰分",gk cet4 ky
ashamed,ә'ʃeimd,"a. 惭愧的, 羞耻的",gk cet4 ky ielts
ashore,ә'ʃɒ:,"adv. 向岸, 在岸上",cet6 ky
Asia,'eiʒә,n. 亚洲,zk gk ielts
Asian,'eiʃәn,"n. 亚洲人\na. 亚洲的, 亚洲人的",zk gk
aside,ә'said,"n. 小声说的话, 旁白\nadv. 在一边, 离开, 另外",gk cet4 ky
asinine,'æsinain,"a. 驴的, 像驴的, 愚蠢的",gre
ask,ɑ:sk,"vi. 问, 要求\nvt. 问, 要求, 邀请, 需要",zk gk
askance,ә'skæns,"adv. 怀疑地, 斜眼看",gre
askew,ә'skju:,a. 歪斜的\nadv. 歪斜地,gre
asleep,ә'sli:p,"a. 睡着的, 长眠的, 麻木的\nadv. 熟睡地",zk gk cet4 ky
asparagus,ә'spærәgәs,n. 芦笋\n[化] 天冬; 天门冬,gre
aspect,'æspekt,"n. 外观, 方面, 面貌, 方向\n[医] 方面, 局面; 外观",gk cet4 cet6 ky toefl gre
aspen,'æspәn,"n. 山杨\na. 山杨的, 颤抖的",gre
asperity,æ'speriti,"n. 粗暴, 严酷, 粗糙",gre
aspersion,ә'spә:ʃәn,"n. 诽谤, 中伤, 洒水\n[医] 喷洒[法]",toefl gre
asphalt,'æsfælt,n. 柏油\na. 用柏油铺成的\nvt. 以柏油铺,toefl
asphyxia,æs'fiksiә,"n. 窒息\n[医] 窒息; 无脉, 绝脉(旧名)",gre
asphyxiate,æs'fiksieit,vi. 窒息\nvt. 使窒息,gre
aspirant,ә'spairәnt,"n. 怀抱大志者, 野心家\na. 上进的, 有野心的",gre
aspiration,.æspә'reiʃәn,"n. 热望, 志向, 渴望\n[医] 吸入; 吸[引], 吸引术",cet6 toefl ielts gre
aspire,ә'spaiә,"vi. 渴望, 立志于",ky toefl ielts gre
aspirin,'æspәrin,n. 阿斯匹林\n[化] 乙酰水杨酸; 阿司匹灵; 邻乙酸基苯甲酸,ielts
aspiring,ә'spaiәriŋ,"a. 有抱负的, 有志气的",toefl
ass,æs,"n. 驴, 傻瓜, 笨蛋, 屁股\n[计] 模拟仿真系统",cet6
assail,ә'seil,"vt. 攻击, 质问\n[法] 攻击, 袭击, 著手解决",toefl gre
assassin,ә'sæsin,"n. 暗杀者, 刺客\n[法] 暗杀者, 行刺者",toefl
assassinate,ә'sæsineit,"vt. 暗杀, 行刺\n[法] 暗杀, 行刺, 中伤",cet6 ky toefl
assassination,ә.sæsi'neiʃәn,"n. 暗杀\n[法] 暗杀, 行刺",ielts
assault,ә'sɒ:t,"n. 攻击, 袭击\nvt. 袭击, 攻击\nvi. 发动攻击",cet6 ky toefl ielts gre
assay,ә'sei,"n. 试验, 化验, 分析\nvt. 化验, 分析, 评价, 尝试\nvi. 被验明内含成分",gre
assemblage,ә'semblidʒ,"n. 集合, 装配, 一群人\n[法] 配合, 集合, 集合物",toefl
assemble,ә'sembl,"vt. 集合, 收集, 装配\nvi. 集合\n[计] 汇编",cet4 cet6 ky toefl ielts gre
assembly,ә'sembli,"n. 与会者, 集会, 装配, 组件\n[化] 装配",cet4 ky toefl
assent,ә'sent,n. 赞成\nvi. 同意,gre
assert,ә'sә:t,"vt. 主张, 坚称, 断言\n[法] 宣称, 断言, 维护",cet6 ky toefl ielts gre
assertive,ә'sә:tiv,"a. 武断的, 过分自信的\n[法] 断言的",cet6 gre
assertiveness,ə'sə:tivnis,"n. 魄力, 自信",gre
assess,ә'ses,"vt. 估定, 对...征税, 评定\n[经] 估计, 估价, 确定(税款罚款等)的金额",gk cet4 cet6 ky toefl ielts gre
assessment,ә'sesmәnt,"n. 评估, 估定, 评定的款额\n[化] 评估",gk cet6 toefl ielts gre
asset,'æset,"n. 资产, 有益的东西",cet6 ky toefl ielts gre
assiduous,ә'sidjuәs,"a. 勤勉的, 刻苦的",toefl gre
assign,ә'sain,"vt. 分配, 指派, 赋值\n[计] 赋值",cet4 cet6 ky toefl ielts
assignment,ә'sainmәnt,"n. 分配, 功课, 任务, 转让, 归因, 陈述\n[计] 赋值",cet4 cet6 ky toefl ielts
assignments,,n. 分配；作业（assignment的复数形式）,ielts
assimilate,ә'simileit,"vt. 使同化, 吸收, 使相拟, 把...比作\nvi. 被吸收, 被同化",cet6 ky toefl ielts gre
assimilation,ә.simi'leiʃәn,"n. 同化, 同化作用, 吸收\n[化] 同化; 同化作用",cet6
assist,ә'sist,"n. 帮助, 协助\nvt. 帮助, 促进\nvi. 协助, 参加",gk cet4 cet6 ky toefl
assistance,ә'sistәns,"n. 协助, 援助\n[经] 援助, 帮助",gk ky toefl ielts
assistant,ә'sistәnt,"n. 助手, 助理, 助教\na. 有帮助的, 辅助的, 助理的",gk cet4 cet6 ky toefl ielts
assistantship,ә'sistәnt-ʃip,n. (大学)研究生助教奖学金,toefl
associate,ә'sәuʃieit,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",gk cet4 cet6 ky toefl ielts gre
association,ә.sәuʃә'eiʃәn,n. 协会\n[计] 关联,gk cet4 cet6 ky toefl ielts
assorted,ә'sɒ:tid,"a. 各种各样的, 分类的",toefl ielts gre
assortment,ә'sɒ:tmәnt,"n. 分类, 各种各样\n[医] [遗传]配列",toefl
assuage,ә'sweidʒ,"vt. 平息, 缓和, 减轻",toefl gre
assume,ә'sju:m,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",gk cet4 cet6 ky toefl ielts gre
assumption,ә'sʌmpʃәn,"n. 假定, 自负, 担任, 假装\n[经] 假定, 承担",gk cet4 cet6 ky toefl ielts gre
assurance,ә'ʃuәrәns,"n. 保证, 把握, 信心, 保险\n[经] 保证, 担保, 保险",cet6 ky ielts
assure,ә'ʃuә,"vt. 保证, 使确信, 弄清楚, 担保\n[法] 确信, 保证, 保障",cet4 cet6 ky toefl ielts gre
assured,ә'ʃuәd,"a. 确定的, 自信的\n[经] 被保险人, 被保证者, 投保人",gre
assuredly,ә'ʃuәridli,"adv. 确实地, 无疑地, 确信地",toefl
asterisk,'æstәrisk,"n. 星号\n[计] 星号, 星号通配符",gre
asteroid,'æstәrɒid,"n. 小行星, 海盘车\na. 星状的",toefl gre
asthma,'æsmә,n. 哮喘\n[医] 气喘,gre
astigmatic,",æsti^'mætik","a. 散光的, 矫正散光的\n[计] 象散",gre
astonish,ә'stɒniʃ,vt. 使惊讶,gk cet4 ky toefl
astonished,,a. 吃惊的,toefl
astonishing,ә'stɒniʃiŋ,a. 令人惊讶的,toefl
astonishment,ә'stɒniʃmәnt,"n. 惊异, 惊愕, 使人惊异的事物",cet6
astound,ә'staund,"vt. 使惊骇, 使大惊",toefl ielts gre
astounding,ә'staundiŋ,a. 令人惊骇的,toefl
astray,ә'strei,"adv. 迷途地, 入歧途地\n[法] 误入歧途地, 离开正道地",gre
astringent,ә'strindʒәnt,"n. 收敛剂\na. 收敛性的, 严厉的, 涩的",gre
astrolabe,'æstrәleib,n. 星盘,gre
astrology,ә'strɒlәdʒi,"n. 占星术, 占星学",gre
astronaut,'æstrәnɒ:t,"n. 太空旅行者, 宇航员\n[法] 美国太空人",gk cet4 cet6 ky
astronomer,ә'strɒnәmә,n. 天文学家,gk toefl
astronomical,.æstrә'nɒmikl,"a. 天文学的, 庞大的",toefl gre
astronomy,ә'strɒnәmi,n. 天文学,gk cet6 ky toefl ielts
astute,ә'stju:t,"a. 敏锐的, 狡猾的",toefl gre
asunder,ә'sʌndә,"adv. 分开, 散, 碎",gre
asylum,ә'sailәm,"n. 庇护, 收容所\n[医] 养育院",ielts gre
asymmetric,æsi'metrik,"a. 不对称的, 偏位的\n[计] 非对称的, 不对称的, 不平衡的",gre
asymmetrical,,"a. 不对称的, 偏位的\n[计] 非对称的, 不对称的",toefl
at,æt,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票",zk gk
atheism,'eiθiizm,n. 无神论,toefl gre
atheist,'eiθiist,n. 无神论者,toefl
Athens,'æθәns,n. 雅典(希腊首都),ielts
athlete,'æθli:t,"n. 运动员, 运动选手\n[医] 运动员",gk cet4 cet6 ky toefl ielts
athletic,æθ'letik,a. 运动的,gk cet6
athletics,æθ'letiks,n. 体育运动,gk gre
Atlantic,әt'læntik,n. 大西洋\na. 大西洋的,zk gk cet4
atlas,'ætlәs,"n. 地图集, 图表集\n[计] 自动测试和负载分析系统",ielts
atmosphere,'ætmәsfiә,"n. 大气, 空气, 气氛\n[医] 大气; 大气压",gk cet4 cet6 ky toefl
atmospheric,ætmәs'ferik,a. 大气的\n[医] 大气的; 大气压的,cet4 cet6 ielts
atom,'ætәm,"n. 原子, 核能, 微粒, 微量\n[计] 原子",gk cet4 cet6 ky toefl
atomic,ә'tɒmik,"a. 原子的, 原子能的\n[医] 原子的",cet4 toefl
atomization,.ætәumai'zeiʃәn,"n. 粉碎, 以原子弹轰炸, 雾化\n[化] 原子化; 雾化",toefl
atonal,ei'tәunl,a. 无调性的,gre
atone,ә'tәun,"vi. 补偿, 弥补\n[法] 赔偿, 补偿, 偿还",gre
atrocious,ә'trәuʃәs,"a. 残暴的, 凶恶的",gre
atrocity,ә'trɒsiti,"n. 残暴, 凶恶, 暴行\n[法] 暴行, 残酷, 残忍",gre
atrophy,'ætrәfi,"n. 萎缩, 萎缩症\n[医] 萎缩",toefl gre
attach,ә'tætʃ,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚\nvi. 附属, 归属, 联系在一起\n[计] 挂接服务器命令, 关联, 挂接, 附加",gk cet4 cet6 ky toefl ielts gre
attached,ә'tætʃt,"a. 附加的；依恋的, 充满爱心的",toefl
attachment,ә'tʃætʃmәnt,"n. 连接, 附属物, 连接物, 爱慕\n[计] 附加, 附件",cet6 toefl
attack,ә'tæk,"n. 攻击, 抨击\nvt. 攻击, 抨击, 动手干\nvi. 攻击",gk cet4 cet6 ky ielts
attacks,,"n. 攻击, 评击（attack的复数形式）",ielts
attain,ә'tein,"vt. 达到, 获得\nvi. 达到",gk cet4 cet6 ky toefl ielts gre
attainment,ә'teinmәnt,n. 达到,toefl gre
attempt,ә'tempt,"n. 尝试, 企图\nvt. 尝试, 企图",gk cet4 cet6 ky toefl ielts
attempts,,"n. 企图, 试图；尝试（attempt的复数）\nv. 试图；努力去做（attempt的三单形式）",ielts
attend,ә'tend,"vt. 参加, 照料, 伴随\nvi. 专心于, 照顾, 服侍, 出席",gk cet4 ky toefl ielts
attendance,ә'tendәns,"n. 出席, 出席的人数, 照料\n[法] 管理, 照料, 资助",cet6 ky toefl ielts
attendant,ә'tendәnt,"n. 随从, 侍者, 出席者\na. 侍候的, 伴随的, 出席的, 在场的",cet6 ky toefl ielts
attent,ә'tent,"[古]注意的, 留意的",cet6
attention,ә'tenʃәn,"n. 注意, 注意力\n[计] 引起注意信号",zk gk cet4 ky toefl ielts
attentive,ә'tentiv,"a. 注意的, 留心的",cet4 cet6 ky ielts
attentively,ә'tentivli,"adv. 注意地, 留心地",gk
attenuate,ә'tenjueit,"a. 纤细的, 稀薄的, 稀释的\nvt. 使减弱, 使纤细\nvi. 变稀薄, 变纤细, 减少\n[计] 衰减",gre
attest,ә'test,"vi. 证明, 表明, 作证\nvt. 为...作证",gre
attic,'ætik,"n. 阁楼, 顶楼\n[医] 鼓室上隐窝",gre
attire,ә'taiә,"n. 服装, 盛装\nvt. 使穿衣, 打扮",toefl gre
attitude,'ætitju:d,"n. 态度, 看法, 姿势\n[医] 体态, 姿势, 态度",gk cet4 ky
attorney,ә'tә:ni,"n. 代理人, 律师\n[经] 律师, 代理人",cet6 ky toefl ielts gre
attract,ә'trækt,"vt. 吸引, 诱惑\nvi. 有吸引力",gk cet4 ky toefl
attraction,ә'trækʃәn,"n. 吸引, 吸引人的事物, 吸引力\n[医] 吸引",gk cet4 toefl
attractive,ә'træktiv,"a. 吸引人的, 有魅力的\n[法] 有吸引力的, 有迷惑力的",gk cet4 ky toefl ielts
attribute,ә'tribju:t,"n. 属性, 标志, 定语\nvt. 把...归于, 认为...属于\n[计] 属性",cet4 cet6 ky toefl ielts gre
attrition,ә'triʃәn,"n. 摩擦, 磨损\n[医] 擦除术; 磨耗",toefl gre
attune,ә'tju:n,"vt. 为乐器调音, 使协调, 使合拍",gre
auction,'ɒ:kʃәn,n. 拍卖\nvt. 拍卖,ky ielts gre
audacious,ɒ:'deiʃәs,"a. 大胆的, 鲁莽的, 胆大妄为的",toefl gre
audible,'ɒ:dәbl,a. 听得见的\n[电] 可闻的,toefl ielts gre
audience,'ɒ:diәns,"n. 听众, 观众, 读者\n[法] 听讼, 观众, 听众",gk cet4 cet6 ky toefl ielts gre
audio,'ɒ:diou,"a. 音频的, 声音的\n[电] 声频",cet4 ky ielts
audit,'ɒ:dit,"n. 审计, 查帐\nvt. 查(帐), 旁听\nvi. 查账\n[计] 查帐; 审查; 检查",ky toefl ielts gre
audition,ɒ:'diʃәn,"n. 听, 听力, 试听\n[计] 审计命令",toefl ielts
auditor,'ɒ:ditә,"n. 审计员, 听者, 旁听生\n[经] 审计(查帐)员, 审计师, 会计检查员",toefl
auditorium,.ɒ:di'tɒ:riәm,"n. 听众席, 礼堂\n[医] 大讲堂, 大会堂",ky toefl ielts gre
auditory,'ɒ:ditәri,"a. 听觉的, 听觉器官的\n[医] 听[音]的, 听觉的",toefl
auger,'ɒ:gә,"n. 螺旋钻, 木螺钻\n[机] 木螺钻",toefl gre
augment,ɒ:g'ment,"v. 增加, 增长\n[计] 增加; 增量; 添加",cet6 ky toefl ielts gre
augmentation,.ɒ:gmen'teiʃәn,"n. 增加, 增长, 增加物\n[医] 增进, 增加",gre
augur,'ɒ:gә,"n. 占卜官, 预言者\nv. 预示, 预言",gre
augury,'ɒ:gjuri,"n. 预兆, 占卜",gre
august,ɒ:'gʌst. 'ɒ:gәst,"n. 八月\na. 威严的, 令人敬畏的",zk gk ielts gre
aunt,ɑ:nt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母",zk gk
aura,'ɒ:rә,"n. 气氛, 气味\n[医] 先兆",toefl
aural,'ɒ:rәl,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的\n[医] 耳的; 先兆的",cet4 cet6 ky
aureole,'ɒ:riәul,"n. 光轮, 光环",gre
auricular,ɒ:'rikjulә,"n. 耳的, 私下对人说的, 耳状的\n[医] 耳的; 心耳的; 心房",gre
aurora,ɒ:'rɒ:rә,"n. 曙光, 极光, 奥罗拉(曙光女神)\n[电] 极光",toefl gre
auspice,'ɒ:spis,"n. 吉兆, 占卜, 赞助",toefl gre
auspices,'ɔ:spisiz,"n. 赞助, 主办, 保护",toefl gre
auspicious,ɒ:'spiʃәs,"a. 吉兆的, 幸运的",toefl gre
austere,ɒ'stiә,"a. 严峻的, 禁欲的, 简朴的",gre
austerity,ɒ'sterәti,"n. 朴素, 苦行, 严格, 严峻",toefl gre
Australia,ɒ'streiljә,"n. 澳洲, 澳大利亚",zk gk ielts
Australian,ɒ'streiljәn,"n. 澳大利亚人\na. 澳大利亚的, 澳洲的, 澳洲人的",zk gk ielts
authentic,ɒ:'θentik,"a. 可靠的, 可信的, 真正的\n[法] 被认证的, 确认的, 可信的",gk cet6 ky toefl ielts gre
authenticate,ɒ:'θentikeit,"vt. 证明可信, 证实为真, 使具法律效力\n[法] 认证, 鉴定, 证明",toefl
authenticity,.ɒ:θen'tisiti,"n. 可靠性, 真实性\n[经] 确实性, 真实性",gre
author,'ɒ:θә,"n. 作家, 作家的著作, 创始人\n[法] 作者, 著作人, 本人",gk cet4 cet6 ky ielts
authoritarian,ɒ:.θɒri'tєәriәn,"a. 独裁的, 独裁主义的",gre
authoritative,ɒ:'θɒritәtiv,"a. 权威性的, 官方的, 命令式的\n[法] 官方的, 当局的, 权威的",toefl ielts
authority,ɒ:'θɒriti,"n. 权力, 当权者, 当局, 权威, 专家\n[经] 代理权, 授权, 权威",gk cet4 cet6 ky toefl ielts
authorization,.ɒ:θәrai'zeiʃәn,"n. 授权, 许可\n[经] 授权, 许可, 批准",gre
authorize,'ɒ:θәraiz,"vt. 授权, 批准, 委托\n[经] 授权, 委任, 认可",toefl ielts
auto,'ɒ:tәu,"n. 汽车\npref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的""",cet4 ky
autobiographical,ɔ:tәjbaiә'^ræfik(ә)l,"a. 自传的, 自传体的",toefl
autobiography,.ɒ:tәubai'ɒgrәfi,n. 自传,cet4 toefl gre
autocracy,ɒ:'tɒkrәsi,"n. 独裁统治, 独裁统治的国家\n[法] 独裁政治, 专制政治, 独裁政府",gre
autocrat,'ɒ:tәkræt,n. 独裁者,toefl gre
automate,'ɔ:tәmeit,vt.vi. (使)自动化\n[计] 自动化,cet6
automated,,a. 自动化的；机械化的,toefl
automatic,.ɒ:tә'mætik,"n. 自动手枪, 自动机械\na. 自动的, 机械的, 必然的, 无意识的",gk cet4 cet6 ky toefl ielts
automatically,.ɒ:tә'mætikli,"adv. 自动地, 机械地",cet4
automation,.ɒ:tә'meiʃәn,"n. 自动化, 自动操作\n[计] 自动学; 自动化",cet4 cet6 ky ielts gre
automobile,'ɒ:tәmәbi:l,n. 汽车\n[机] 汽车,cet4 cet6 ielts
automotive,.ɒ:tәu'mәutiv,a. 汽车的,toefl
autonomous,ɒ:'tɒnәmәs,a. 自治的\n[医] 自主的,gk toefl gre
autonomy,ɒ:'tɒnәmi,"n. 自治, 自治权\n[医] 自主性",ky toefl ielts gre
autopsy,'ɒ:tәpsi,"n. 验尸\n[医] 尸体解剖, 尸体剖检",toefl
autumn,'ɒ:tәm,"n. 秋天, 成熟期",zk gk
auxiliary,ɒ:g'ziljәri,"n. 辅助者, 辅助物, 附属机构, 助动词\na. 辅助的, 备用的",cet4 cet6 ky toefl ielts gre
avail,ә'veil,"vi. 有用, 有利\nvt. 有利于\nn. 效用, 利益",cet6 ky ielts
availability,ә.veilә'biliti,"n. 有效性, 可利用性, 可利用的人\n[计] 有效性; 可用性",cet6
available,ә'veilәbl,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",zk gk cet4 cet6 ky toefl ielts gre
avalanche,'ævәlɑ:ntʃ,"n. 雪崩, 山崩, 大量\nvi. 崩塌\nvt. 大量涌至",toefl ielts gre
avant-garde,.ævɔŋ'ɡɑ:d,n. 先锋派；前卫派,toefl gre
avarice,'ævәris,n. 贪婪,toefl gre
avaricious,.ævә'riʃәs,a. 贪婪的,toefl gre
avenge,ә'vendʒ,"vt. 为...报复, 报仇",gre
avenue,'ævәnju:,"n. 大街, 途径, 林荫路",gk cet4 ky toefl ielts
aver,ә'vә:,"vt. 断言, 坚称\n[法] 立证, 证明, 确证",gre
average,'ævәridʒ,"n. 平均, 平均数, 一般水平, 海损\na. 平均的, 中等的, 平常的\nvt. 算出...平均数, 平均做, 均分, 使平衡\nvi. 平均为, 呈中间色",gk cet4 ky toefl ielts
averse,ә'vә:s,"a. 不愿意的, 反对的",toefl gre
aversion,ә'vә:ʃәn,"n. 厌恶, 讨厌的事, 讨厌的人\n[医] 厌恶, 移转, 移位",toefl gre
avert,ә'vә:t,"vt. 转开, 避免, 防止",cet6 ky toefl ielts gre
aviary,'eivjәri,"n. 大型鸟舍, 鸟类饲养场",gre
aviation,.eivi'eiʃәn,"n. 航空, 航空学, 飞行术\n[法] 航空, 飞行, 飞行术",cet4 cet6 ky toefl ielts
aviator,'eivieitә,n. 飞行员,toefl
avid,'ævid,"a. 渴望的, 急切的, 劲头十足的",toefl gre
avocation,.ævәu'keiʃәn,"n. 副业, 嗜好\n[法] 法院之间诉讼的转移, 职业, 本职",toefl gre
avocational,,业余爱好的\n副业的,toefl
avoid,ә'vɒid,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开",zk gk cet4 ky toefl ielts gre
avoidable,ә'vɒidәbl,"a. 可避免的\n[法] 可作为无效的, 可回避的, 可避免的",toefl
avoidance,ә'vɒidәns,"n. 避免, 避开, 逃避\n[经] 回避, 废止, 宣告无效",toefl
avouch,ә'vautʃ,"v. 断言, 主张, 保证, 承认",toefl
avow,ә'vau,"vt. 坦率承认, 断言\n[法] 公开宣称, 声明, 供认",toefl gre
avowal,ә'vauәl,"n. 公开表示, 坦率承认\n[法] 声明, 公开宣布, 供认",gre
avuncular,ә'vʌŋkjulә,"a. 叔伯的, 叔伯似的",gre
await,ә'weit,vt. 等候\nvi. 等待着,cet4 ky
awake,ә'weik,"a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到",zk gk cet4 cet6 ky
award,ә'wɒ:d,"n. 奖品, 裁定, 判决\nvt. 授予, 给予",gk cet4 cet6 ky ielts
aware,ә'wєә,"a. 知道的, 有觉悟的",gk cet4 ky toefl ielts
awareness,ә'weәnis,"n. 意识, 认识\n[计] 识别, 议定, 明白",toefl ielts
away,ә'wei,adv. 离去,zk gk
awe,ɒ:,n. 敬畏\nvt. 使敬畏,ky toefl gre
awe-inspiring,"'ɔ:in,spaiәriŋ",a. 使人畏惧的,gre
awesome,'ɒ:sәm,"a. 引起敬畏的, 可怕的",gk
awful,'ɒ:ful,"a. 可怕的, 庄严的, 虔敬的",gk cet4 cet6 ky ielts
awfully,'ɒ:fuli,"adv. 恶劣地, 非常地, 极端地",cet4
awkward,'ɒ:kwәd,"a. 笨拙的, 棘手的",gk cet4 cet6 ky toefl ielts gre
awkwardly,,adv. 笨拙地；无技巧地,toefl
awl,ɒ:l,"n. 钻子, 尖锥",gre
awning,'ɒ:niŋ,"n. 遮篷, 雨篷",gre
awry,ә'rai,"a. 歪的, 错误的\nadv. 歪斜地, 错地",gre
ax,æks,"n. 斧头\nvt. 用斧削或砍, 削减",cet4
axe,,"n. 斧, 斧头\nvt. 削减(人员、经费、计划、机构等)",ky toefl
axial,'æksiәl,"a. 轴的, 成轴的, 轴向的\n[医] 轴的, 中轴的",cet6
axiom,'æksiәm,"n. 自明之理, 公理, 原理, 格言\n[法] 公理, 原理, 原则",gre
axis,'æksis,n. 轴\n[计] 坐标轴,cet4 cet6 ky toefl ielts gre
axle,'æksl,"n. 轴, 车轴\n[电] 轴",cet6 gre
azure,'æʒә,"n. 天蓝色, 碧空\na. 蔚蓝的",toefl gre
B.C.,,公元前,cet4
babble,'bæbl,"vi. 牙牙学语, 喋喋不休\nvt. 唠叨, 吐露\nn. 儿语, 胡言乱语, 嘈杂声\n[计] 串音",gre
baboon,bә'bu:n,n. 狒狒\n[医] 狒狒,toefl
baby,'beibi,n. 婴孩\n[医] 婴儿,zk gk
baby-sitter,,n. 看顾小孩的人,toefl
bacchanal,'bækәnl,"a. 酒神的, 酒神节的, 狂饮作乐的\nn. 酒神崇拜者, 狂饮作乐",gre
bachelor,'bætʃәlә,"n. 单身汉, 学士\n[法] 学士, 单身汉",gk cet4 cet6 ky toefl
back,bæk,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",zk gk ielts
backache,'bækeik,n. 背痛,gk
backbone,'bækbәun,"n. 脊椎, 志气, 骨干, 支柱\n[计] 主干网, 主干网点",cet6 toefl
backdrop,'bækdrɒp,"n. 背景幕, 背景",toefl gre
background,'bækgraund,"n. 背景, 背景资料\n[计] 背景, 后台",zk gk cet4 ky toefl ielts
backhanded,'bæk'hændid,a. 间接的,gre
backpack,'bækpæk,"n. 远足用的背包；双肩背包, 背包",toefl
backset,'bækset,"n. 挫折, 倒退, 逆流, 涡流",gre
backslide,.bæk'slaid,"vi. 堕落, 退步\nn. 堕落, 退步",gre
backward,'bækwәd,"adv. 向后地, 相反地\na. 向后的, 相反的\n[计] 倒推",gk cet4 ky toefl ielts
backwater,'bæk.wɒ:tә,"n. 死水, 滞水, 停滞, 回水",gre
bacon,'beikәn,n. 熏猪肉\n[机] 腌肉,gk cet6 ky ielts
bacteria,bæk'tiәriә,"pl. 细菌\n[医] 细菌, [无芽胞]杆菌",cet4 cet6 toefl ielts gre
bacterium,bæk'tiәriәm,n. 细菌\n[医] [无芽胞]杆菌属,gk cet6 ky ielts gre
bad,bæd,a. 坏的\nn. 坏\nadv. 坏地,zk gk
badge,bædʒ,"n. 徽章, 标记\n[计] 标记",cet6 ky ielts gre
badger,'bædʒә,"n. 獾, 獾皮毛\nvt. 纠缠",toefl gre
badinage,bædinɑ:ʒ,"n. 开玩笑；嘲弄, 揶揄",gre
badly,'bædli,"adv. 严重地, 恶劣地, 极度地",gk cet4 ky
